 Pressure(dbar)  Temperature(°C)  Salinity(PSU)
       0.300000        28.528999      33.501999
       1.000000        28.521000      33.507000
       1.800000        28.524000      33.506001
       2.800000        28.530001      33.504002
       3.900000        28.528000      33.504002
       5.000000        28.533001      33.504002
       5.800000        28.535000      33.504002
       6.700000        28.535999      33.504002
       7.900000        28.535999      33.504002
       9.200000        28.537001      33.504002
      10.000000        28.535000      33.504002
      15.500000        28.539000      33.505001
      25.799999        28.597000      33.560001
      35.299999        28.813999      33.851002
      45.299999        28.985001      34.172001
      55.400002        29.054001      34.470001
      65.500000        28.836000      34.542000
      75.800003        28.945999      34.942001
      85.300003        28.691000      34.966000
      95.400002        28.146999      35.145000
     105.599998        27.656000      35.389999
     115.400002        25.568001      35.042999
     125.300003        24.177999      34.849998
     135.600006        22.785000      34.883999
     145.100006        21.101000      34.844002
     155.600006        19.924000      34.737000
     165.800003        19.239000      34.789001
     175.600006        18.433001      34.821999
     185.699997        17.952000      34.835999
     195.600006        17.431999      34.869999
     212.899994        16.250999      34.917000
     237.600006        15.192000      34.929001
     263.000000        14.079000      34.956001
     287.600006        13.308000      34.983002
     312.700012        12.660000      35.011002
     337.899994        12.233000      35.042999
     362.799988        11.758000      35.029999
     387.799988        11.360000      35.030998
     413.500000        11.051000      35.029999
     437.600006        10.827000      35.028999
     462.700012        10.645000      35.032001
     488.000000        10.433000      35.029999
     512.799988        10.246000      35.028000
     537.599976        10.033000      35.026001
     562.900024         9.836000      35.022999
     587.799988         9.688000      35.021000
     612.900024         9.520000      35.015999
     638.099976         9.315000      35.012001
     663.000000         9.170000      35.007000
     688.000000         8.989000      35.002998
     712.900024         8.788000      34.999001
     737.700012         8.609000      34.993000
     762.599976         8.445000      34.987999
     787.599976         8.268000      34.981998
     813.799988         8.103000      34.978001
     838.099976         7.955000      34.973000
     862.599976         7.804000      34.967999
     887.700012         7.664000      34.964001
     913.000000         7.544000      34.959000
     937.900024         7.394000      34.952999
     962.799988         7.264000      34.948002
     988.000000         7.103000      34.943001
    1013.000000         6.933000      34.937000
    1038.400024         6.790000      34.931999
    1062.800049         6.645000      34.925999
    1088.099976         6.504000      34.921001
    1113.099976         6.372000      34.916000
    1138.099976         6.253000      34.911999
    1163.300049         6.137000      34.907001
    1188.000000         6.004000      34.902000
    1212.800049         5.883000      34.896999
    1237.599976         5.778000      34.893002
    1262.699951         5.684000      34.889000
    1287.800049         5.597000      34.886002
    1312.500000         5.491000      34.882000
    1338.500000         5.387000      34.877998
    1362.800049         5.308000      34.875000
    1387.800049         5.197000      34.870998
    1413.099976         5.116000      34.868000
    1438.099976         5.039000      34.865002
    1463.199951         4.957000      34.862000
    1487.900024         4.863000      34.859001
    1512.900024         4.766000      34.855000
    1530.300049         4.705000      34.853001
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
            NaN              NaN            NaN
       0.100000        28.492001      34.148998
       0.800000        28.493999      34.146000
       1.900000        28.496000      34.146999
       2.900000        28.495001      34.147999
       3.900000        28.496000      34.147999
       4.900000        28.493999      34.148998
       6.100000        28.492001      34.147999
       7.200000        28.496000      34.150002
       8.200000        28.496000      34.148998
       9.200000        28.499001      34.148998
      10.300000        28.499001      34.148998
      15.700000        28.495001      34.153999
      25.500000        28.495001      34.154999
      35.400002        28.493999      34.160000
      45.000000        28.482000      34.167999
      55.099998        28.475000      34.169998
      65.199997        28.468000      34.167000
      75.500000        28.469000      34.173000
      85.300003        28.632000      34.437000
      95.900002        28.474001      34.782001
     105.000000        27.322001      34.728001
     115.400002        25.582001      34.657001
     125.199997        24.694000      34.751999
     135.800003        24.191000      35.084000
     145.800003        22.669001      34.898998
     155.500000        20.500999      34.738998
     165.699997        19.962000      34.791000
     175.699997        19.077000      34.785000
     185.699997        18.296000      34.820999
     195.100006        17.625999      34.919998
     211.899994        16.670000      34.976002
     237.899994        15.417000      34.969002
     262.700012        13.946000      34.966999
     288.100006        12.987000      34.994999
     312.899994        12.460000      35.013000
     337.700012        12.094000      35.034000
     362.500000        11.775000      35.028999
     387.799988        11.456000      35.030998
     412.899994        11.192000      35.033001
     438.100006        10.943000      35.032001
     463.200012        10.708000      35.033001
     487.700012        10.522000      35.033001
     513.500000        10.329000      35.029999
     537.599976        10.124000      35.026001
     562.799988         9.942000      35.022999
     587.900024         9.813000      35.021999
     612.799988         9.633000      35.015999
     637.700012         9.392000      35.011002
     662.700012         9.216000      35.007999
     687.799988         9.014000      35.004002
     712.900024         8.821000      34.999001
     738.099976         8.686000      34.994999
     763.099976         8.519000      34.990002
     788.299988         8.349000      34.985001
     813.200012         8.193000      34.979000
     837.900024         8.040000      34.974998
     862.900024         7.871000      34.969002
     888.299988         7.701000      34.964001
     914.000000         7.581000      34.960999
     937.900024         7.406000      34.955002
     962.799988         7.266000      34.950001
     987.799988         7.128000      34.945000
    1012.700012         6.987000      34.939999
    1038.199951         6.850000      34.935001
    1063.300049         6.693000      34.929001
    1088.199951         6.531000      34.923000
    1113.199951         6.381000      34.917999
    1138.099976         6.285000      34.914001
    1163.000000         6.151000      34.909000
    1188.900024         6.027000      34.903999
    1212.800049         5.922000      34.900002
    1237.800049         5.813000      34.895000
    1262.699951         5.705000      34.890999
    1287.800049         5.595000      34.887001
    1312.900024         5.488000      34.883999
    1337.900024         5.390000      34.880001
    1363.099976         5.256000      34.875000
    1387.800049         5.148000      34.870998
    1412.400024         5.044000      34.867001
    1437.800049         4.953000      34.862999
    1463.199951         4.825000      34.859001
    1487.900024         4.704000      34.854000
    1512.699951         4.618000      34.852001
    1538.000000         4.554000      34.848999
    1563.199951         4.459000      34.846001
    1588.199951         4.346000      34.841000
    1613.199951         4.230000      34.835999
    1638.099976         4.108000      34.831001
    1662.900024         3.978000      34.826000
    1688.099976         3.881000      34.821999
    1713.099976         3.782000      34.818001
    1738.000000         3.673000      34.813000
    1762.900024         3.547000      34.807999
    1787.800049         3.450000      34.804001
    1813.500000         3.348000      34.799999
    1837.800049         3.233000      34.794998
    1862.800049         3.171000      34.792999
    1888.000000         3.100000      34.790001
    1912.800049         3.047000      34.787998
    1937.699951         3.004000      34.785999
    1962.800049         2.948000      34.783001
    1988.699951         2.899000      34.780998
            NaN              NaN            NaN
       0.200000        28.208000      33.867001
       0.900000        28.211000      33.865002
       2.100000        28.212999      33.863998
       2.800000        28.212000      33.865002
       3.700000        28.212999      33.867001
       4.900000        28.219000      33.862999
       6.100000        28.216999      33.865002
       7.000000        28.218000      33.863998
       7.800000        28.219000      33.862999
       9.000000        28.219000      33.863998
      10.200000        28.219000      33.863998
      15.000000        28.223000      33.862999
      24.900000        28.225000      33.863998
      35.200001        28.215000      33.865002
      45.400002        28.202000      33.868999
      55.400002        28.219999      33.882999
      65.199997        28.563999      34.168999
      75.900002        28.679001      34.332001
      85.199997        28.334000      34.464001
      95.099998        26.746000      34.331001
     105.500000        27.117001      34.808998
     115.300003        27.356001      35.167000
     125.300003        26.716000      35.216000
     135.500000        24.438000      34.887001
     145.399994        21.975000      34.599998
     155.199997        21.313000      34.861000
     165.399994        20.127001      34.792999
     175.699997        18.945000      34.834999
     185.100006        17.987000      34.838001
     195.699997        17.514999      35.053001
     213.800003        16.892000      35.053001
     237.600006        15.480000      34.988998
     262.700012        14.091000      34.987000
     287.700012        13.076000      34.993000
     313.899994        12.523000      35.015999
     337.700012        12.033000      35.028000
     362.899994        11.622000      35.030998
     388.100006        11.294000      35.034000
     413.100006        11.042000      35.034000
     437.700012        10.820000      35.034000
     462.700012        10.633000      35.035000
     487.700012        10.420000      35.035999
     513.000000        10.234000      35.032001
     537.799988         9.985000      35.027000
     562.700012         9.776000      35.023998
     588.299988         9.522000      35.014000
     612.599976         9.349000      35.007999
     637.599976         9.165000      35.002998
     662.500000         8.983000      34.998001
     687.700012         8.818000      34.993000
     712.900024         8.639000      34.987999
     738.099976         8.470000      34.983002
     763.099976         8.318000      34.979000
     787.900024         8.168000      34.973999
     812.900024         8.039000      34.971001
